iter	RMSE	RMSE
0	8.168292681	8.168292681
1	4.807491508	4.807491508
2	3.134518273	3.134518273
3	2.395003045	2.395003045
4	2.036908296	2.036908296
5	1.847043243	1.847043243
6	1.779841113	1.779841113
7	1.705506515	1.705506515
8	1.649392383	1.649392383
9	1.575211097	1.575211097
10	1.527506031	1.527506031
11	1.49487092	1.49487092
12	1.413476419	1.413476419
13	1.394244776	1.394244776
14	1.374634506	1.374634506
15	1.357843617	1.357843617
16	1.310340778	1.310340778
17	1.294515389	1.294515389
18	1.276659793	1.276659793
19	1.252115062	1.252115062
20	1.228794997	1.228794997
21	1.215993115	1.215993115
22	1.181461019	1.181461019
23	1.16171719	1.16171719
24	1.14442944	1.14442944
25	1.131702256	1.131702256
26	1.109361515	1.109361515
27	1.091875037	1.091875037
28	1.084735817	1.084735817
29	1.073304394	1.073304394
30	1.061932298	1.061932298
31	1.050299828	1.050299828
32	1.043522171	1.043522171
33	1.034479071	1.034479071
34	1.024684712	1.024684712
35	1.018115974	1.018115974
36	1.006656619	1.006656619
37	0.9963445419	0.9963445419
38	0.9869523331	0.9869523331
39	0.978987765	0.978987765
40	0.968283489	0.968283489
41	0.9617759486	0.9617759486
42	0.9544444484	0.9544444484
43	0.9458951461	0.9458951461
44	0.9392399977	0.9392399977
45	0.9330475072	0.9330475072
46	0.9243274034	0.9243274034
47	0.9200839858	0.9200839858
48	0.9134216328	0.9134216328
49	0.9070949828	0.9070949828
50	0.8972866951	0.8972866951
51	0.8926847681	0.8926847681
52	0.8867545184	0.8867545184
53	0.8782767685	0.8782767685
54	0.8731699147	0.8731699147
55	0.8665410458	0.8665410458
56	0.8603299765	0.8603299765
57	0.8555693556	0.8555693556
58	0.8489720095	0.8489720095
59	0.8428800119	0.8428800119
60	0.8388353709	0.8388353709
61	0.8360088808	0.8360088808
62	0.8306130083	0.8306130083
63	0.8256847737	0.8256847737
64	0.8206163363	0.8206163363
65	0.8160354105	0.8160354105
66	0.8126823036	0.8126823036
67	0.8080762919	0.8080762919
68	0.8047517241	0.8047517241
69	0.8023895812	0.8023895812
70	0.7992650707	0.7992650707
71	0.7945979456	0.7945979456
72	0.7909801471	0.7909801471
73	0.7882513333	0.7882513333
74	0.7845524532	0.7845524532
75	0.7791280876	0.7791280876
76	0.7760722333	0.7760722333
77	0.7728890521	0.7728890521
78	0.7706966741	0.7706966741
79	0.7680439403	0.7680439403
80	0.7655480628	0.7655480628
81	0.7629757113	0.7629757113
82	0.7602618852	0.7602618852
83	0.7584605684	0.7584605684
84	0.7537055462	0.7537055462
85	0.7516452894	0.7516452894
86	0.7490554207	0.7490554207
87	0.7465378003	0.7465378003
88	0.7438105418	0.7438105418
89	0.7413735155	0.7413735155
90	0.7383402866	0.7383402866
91	0.7362186313	0.7362186313
92	0.7344551895	0.7344551895
93	0.7318591127	0.7318591127
94	0.7298245626	0.7298245626
95	0.7277766444	0.7277766444
96	0.7259097956	0.7259097956
97	0.7198031784	0.7198031784
98	0.7170080478	0.7170080478
99	0.7153025625	0.7153025625
100	0.7132424479	0.7132424479
101	0.7095329853	0.7095329853
102	0.7075752086	0.7075752086
103	0.7063202554	0.7063202554
104	0.7049347371	0.7049347371
105	0.7028511286	0.7028511286
106	0.7010210461	0.7010210461
107	0.6998190569	0.6998190569
108	0.6979091572	0.6979091572
109	0.6948099483	0.6948099483
110	0.6923681463	0.6923681463
111	0.6909766553	0.6909766553
112	0.689473636	0.689473636
113	0.6877301779	0.6877301779
114	0.6856015972	0.6856015972
115	0.6845557292	0.6845557292
116	0.6830654649	0.6830654649
117	0.6811743576	0.6811743576
118	0.6797879894	0.6797879894
119	0.6782404828	0.6782404828
120	0.6771250875	0.6771250875
121	0.6754510345	0.6754510345
122	0.6739430343	0.6739430343
123	0.6720864954	0.6720864954
124	0.670620256	0.670620256
125	0.6664404127	0.6664404127
126	0.6651185024	0.6651185024
127	0.6625493861	0.6625493861
128	0.6600881376	0.6600881376
129	0.6580717482	0.6580717482
130	0.656567311	0.656567311
131	0.6550924493	0.6550924493
132	0.6530443872	0.6530443872
133	0.6506598144	0.6506598144
134	0.648218597	0.648218597
135	0.646050477	0.646050477
136	0.6451069369	0.6451069369
137	0.6441159956	0.6441159956
138	0.6426224449	0.6426224449
139	0.6406254455	0.6406254455
140	0.639420577	0.639420577
141	0.6379508575	0.6379508575
142	0.6354863876	0.6354863876
143	0.6340422234	0.6340422234
144	0.6332515058	0.6332515058
145	0.6320164767	0.6320164767
146	0.6300529414	0.6300529414
147	0.628378931	0.628378931
148	0.6274847618	0.6274847618
149	0.6244564984	0.6244564984
150	0.6229364693	0.6229364693
151	0.622048906	0.622048906
152	0.6210473167	0.6210473167
153	0.6196374939	0.6196374939
154	0.6183176034	0.6183176034
155	0.6165924402	0.6165924402
156	0.6155618322	0.6155618322
157	0.6140354542	0.6140354542
158	0.6121474984	0.6121474984
159	0.6109508366	0.6109508366
160	0.6094976269	0.6094976269
161	0.608335292	0.608335292
162	0.6072729758	0.6072729758
163	0.6063107708	0.6063107708
164	0.6053704299	0.6053704299
165	0.6042587586	0.6042587586
166	0.6035446891	0.6035446891
167	0.6025990696	0.6025990696
168	0.6012005743	0.6012005743
169	0.5993703278	0.5993703278
170	0.5984563103	0.5984563103
171	0.5972605512	0.5972605512
172	0.5962546637	0.5962546637
173	0.5956766675	0.5956766675
174	0.5943974821	0.5943974821
175	0.5933953719	0.5933953719
176	0.5917548389	0.5917548389
177	0.590598944	0.590598944
178	0.5895196661	0.5895196661
179	0.588295135	0.588295135
180	0.5867009928	0.5867009928
181	0.5854413602	0.5854413602
182	0.5847772945	0.5847772945
183	0.5836490008	0.5836490008
184	0.5824896735	0.5824896735
185	0.5816872315	0.5816872315
186	0.5807565729	0.5807565729
187	0.5792875575	0.5792875575
188	0.5783455687	0.5783455687
189	0.5770257646	0.5770257646
190	0.5756536789	0.5756536789
191	0.5749109615	0.5749109615
192	0.5741701986	0.5741701986
193	0.5730081523	0.5730081523
194	0.5721106698	0.5721106698
195	0.5713810221	0.5713810221
196	0.569654837	0.569654837
197	0.5681268921	0.5681268921
198	0.5662672601	0.5662672601
199	0.565724232	0.565724232
200	0.5641985426	0.5641985426
201	0.5633564159	0.5633564159
202	0.5624557	0.5624557
203	0.5613645414	0.5613645414
204	0.56089397	0.56089397
205	0.5601330242	0.5601330242
206	0.5590557493	0.5590557493
207	0.5582819989	0.5582819989
208	0.5574863037	0.5574863037
209	0.556733912	0.556733912
210	0.5554941305	0.5554941305
211	0.554689659	0.554689659
212	0.5543440231	0.5543440231
213	0.5535077098	0.5535077098
214	0.5521260137	0.5521260137
215	0.5510763177	0.5510763177
216	0.5502206884	0.5502206884
217	0.5491546152	0.5491546152
218	0.5479586317	0.5479586317
219	0.5472010846	0.5472010846
220	0.5449531096	0.5449531096
221	0.5444450735	0.5444450735
222	0.5434030516	0.5434030516
223	0.5423595836	0.5423595836
224	0.5418174188	0.5418174188
225	0.5408545384	0.5408545384
226	0.5400981138	0.5400981138
227	0.5394818198	0.5394818198
228	0.5391656287	0.5391656287
229	0.5382271485	0.5382271485
230	0.5376787069	0.5376787069
231	0.5373764337	0.5373764337
232	0.5368220373	0.5368220373
233	0.5359352816	0.5359352816
234	0.5350717183	0.5350717183
235	0.5342712713	0.5342712713
236	0.5336367984	0.5336367984
237	0.5327872263	0.5327872263
238	0.532254819	0.532254819
239	0.5315743947	0.5315743947
240	0.5306687738	0.5306687738
241	0.5299544088	0.5299544088
242	0.5295367085	0.5295367085
243	0.5291345014	0.5291345014
244	0.5285909235	0.5285909235
245	0.5280821566	0.5280821566
246	0.5272783957	0.5272783957
247	0.5268086828	0.5268086828
248	0.5262900966	0.5262900966
249	0.5260142057	0.5260142057
250	0.5253748243	0.5253748243
251	0.5249266577	0.5249266577
252	0.5242200177	0.5242200177
253	0.5235777459	0.5235777459
254	0.5231158196	0.5231158196
255	0.5226403459	0.5226403459
256	0.5218845846	0.5218845846
257	0.5213678218	0.5213678218
258	0.5206835295	0.5206835295
259	0.5203199681	0.5203199681
260	0.5144839653	0.5144839653
261	0.5140750851	0.5140750851
262	0.5136378684	0.5136378684
263	0.5127453934	0.5127453934
264	0.5123663971	0.5123663971
265	0.5115638634	0.5115638634
266	0.5111814404	0.5111814404
267	0.510485897	0.510485897
268	0.5096443261	0.5096443261
269	0.5091347142	0.5091347142
270	0.5086089168	0.5086089168
271	0.5078586791	0.5078586791
272	0.5075161567	0.5075161567
273	0.5070834192	0.5070834192
274	0.5066353435	0.5066353435
275	0.5061566425	0.5061566425
276	0.5054816888	0.5054816888
277	0.5049209618	0.5049209618
278	0.5044242584	0.5044242584
279	0.5038224222	0.5038224222
280	0.5030410837	0.5030410837
281	0.5026611375	0.5026611375
282	0.5021326844	0.5021326844
283	0.5016760643	0.5016760643
284	0.5011508093	0.5011508093
285	0.5007169324	0.5007169324
286	0.500438299	0.500438299
287	0.5000047059	0.5000047059
288	0.4997593635	0.4997593635
289	0.4993260719	0.4993260719
290	0.4987762517	0.4987762517
291	0.498333149	0.498333149
292	0.4978607982	0.4978607982
293	0.4973643504	0.4973643504
294	0.4966740553	0.4966740553
295	0.496415437	0.496415437
296	0.4960939251	0.4960939251
297	0.4954467929	0.4954467929
298	0.4952436944	0.4952436944
299	0.4948485069	0.4948485069
