iter	Passed	Remaining
0	13735	5247004
1	30223	5757500
2	46564	5898127
3	62493	5921216
4	78646	5945672
5	95025	5970783
6	111011	5962921
7	126947	5950663
8	143054	5944705
9	158929	5928077
10	175147	5923175
11	191124	5908946
12	206979	5890957
13	223039	5878696
14	239347	5871987
15	255018	5849479
16	270947	5833336
17	286718	5814005
18	303435	5813189
19	319773	5803897
20	333721	5752718
21	346156	5680110
22	358679	5614107
23	371170	5552096
24	383976	5498540
25	396600	5445632
26	409120	5394330
27	421604	5345346
28	434069	5298643
29	446612	5255136
30	459080	5212789
31	471812	5175196
32	484205	5135510
33	496690	5098379
34	509161	5062517
35	521587	5027524
36	534282	4996260
37	546895	4965232
38	559759	4937366
39	572374	4908114
40	584891	4878851
41	597580	4851784
42	609995	4823221
43	622407	4795369
44	634906	4768854
45	647440	4743208
46	660235	4719978
47	672661	4694617
48	685592	4673219
49	698128	4649539
50	710684	4626416
51	723269	4603889
52	735711	4580848
53	748414	4559782
54	760980	4538211
55	773570	4517096
56	785972	4495208
57	798372	4473639
58	811009	4453678
59	823396	4432618
60	836000	4412988
61	848575	4393431
62	860958	4373122
63	873411	4353408
64	885863	4333914
65	898453	4315300
66	910976	4296544
67	923573	4278319
68	936025	4259592
69	948754	4242285
70	961295	4224285
71	973727	4205961
72	986401	4188829
73	998951	4171297
74	1011560	4154143
75	1024104	4136844
76	1036679	4119792
77	1049434	4103558
78	1061950	4086492
79	1074457	4069506
80	1086914	4052445
81	1099378	4035523
82	1111836	4018684
83	1124896	4004096
84	1138097	3990036
85	1151339	3976138
86	1163955	3960125
87	1176352	3943455
88	1188840	3927181
89	1201506	3911570
90	1214260	3896309
91	1226976	3880980
92	1239648	3865570
93	1252069	3849447
94	1264646	3833874
95	1277067	3817900
96	1289981	3803450
97	1302526	3787960
98	1315023	3772391
99	1327475	3756755
100	1339907	3741127
101	1352443	3725848
102	1364928	3710484
103	1377636	3695775
104	1390043	3680305
105	1402431	3664845
106	1414985	3649869
107	1427410	3634610
108	1440023	3619875
109	1452516	3604881
110	1465096	3590146
111	1477944	3576097
112	1490380	3561085
113	1502918	3546360
114	1515331	3531381
115	1527896	3516795
116	1540409	3502128
117	1552900	3487447
118	1565425	3472877
119	1577991	3458432
120	1590418	3443716
121	1602934	3429228
122	1615387	3414640
123	1627907	3400226
124	1640397	3385779
125	1652827	3371243
126	1665214	3356653
127	1677826	3342544
128	1690330	3328248
129	1703256	3314799
130	1716125	3301248
131	1728709	3287168
132	1741174	3272885
133	1753660	3258668
134	1766208	3244589
135	1778631	3230308
136	1791060	3216064
137	1803474	3201820
138	1815963	3187734
139	1828386	3173556
140	1841098	3159899
141	1853506	3145739
142	1865948	3131661
143	1878391	3117607
144	1891213	3104199
145	1905391	3092997
146	1919807	3082140
147	1932485	3068473
148	1945450	3055271
149	1958016	3041452
150	1970748	3027904
151	1983526	3014438
152	1996333	3001024
153	2009015	2987432
154	2021572	2973667
155	2034668	2960703
156	2047814	2947809
157	2061315	2935418
158	2074002	2921864
159	2086710	2908352
160	2099200	2894549
161	2314984	3158095
162	2328459	3142706
163	2341792	3127149
164	2354778	3111162
165	2367907	3095397
166	2380648	3079162
167	2393470	3063072
168	2406532	3047325
169	2419847	3031926
170	2432509	3015742
171	2445740	3000297
172	2459724	2985792
173	2472616	2969981
174	2485797	2954547
175	3677307	4325014
176	3690824	4295536
177	3702991	4264681
178	3715159	4234036
179	3727601	4203906
180	3739850	4173755
181	3752264	4143984
182	3764598	4114315
183	3776644	4084523
184	3788706	4054939
185	3801196	4025998
186	3842470	4027401
187	3856891	4000499
188	3869113	3971471
189	3881228	3942511
190	3893241	3913624
191	3905476	3885135
192	3917373	3856481
193	3929425	3828152
194	3941361	3799876
195	3953269	3771741
196	3965466	3744044
197	3977916	3716740
198	3990217	3689447
199	4052713	3708233
200	4066373	3681990
201	4078484	3654483
202	4090545	3627084
203	4102558	3599794
204	4114874	3572915
205	4126893	3545922
206	4138941	3519100
207	4150977	3492409
208	4162931	3465790
209	4175790	3440055
210	4187944	3413869
211	4200560	3388187
212	4212525	3362109
213	4224539	3336201
214	4236648	3310497
215	4248494	3284715
216	4260503	3259187
217	4272618	3233862
218	4284596	3208556
219	4296640	3183420
220	4308612	3158349
221	4320609	3133415
222	4332663	3108637
223	4344779	3084017
224	4356858	3059483
225	4368858	3035003
226	4380893	3010658
227	4392891	2986395
228	4404952	2962282
229	4416868	2938177
230	4428901	2914255
231	4441467	2890782
232	5420883	3489839
233	5435194	3460871
234	5447137	3430537
235	5459522	3400634
236	5471996	3370934
237	5484487	3341389
238	5496567	3311739
239	5508564	3282186
240	5520498	3252742
241	5532505	3223484
242	5544773	3194519
243	5557313	3165846
244	5620905	3166061
245	5633615	3137419
246	5645776	3108605
247	5657924	3079918
248	5669874	3051257
249	5682233	3022948
250	5694254	2994587
251	5706223	2966330
252	5718278	2938245
253	5730362	2910302
254	5742371	2882445
255	5754741	2854891
256	5766734	2827270
257	6286606	3045836
258	6302215	3017276
259	6316602	2988238
260	6334332	2960875
261	6352103	2933605
262	6367609	2905373
263	6382379	2876905
264	6396158	2848100
265	6412082	2820352
266	6432996	2794859
267	6450930	2768122
268	6468783	2741417
269	6486209	2714598
270	6502127	2687225
271	6524792	2662691
272	6542141	2636027
273	6560040	2609651
274	6578194	2583436
275	6593349	2556117
276	6609396	2529227
277	6629546	2503965
278	6646206	2477439
279	6663678	2451281
280	6684944	2426563
281	6700902	2399968
282	6718177	2373914
283	6734508	2347592
284	6750271	2321145
285	6763828	2294025
286	6779882	2267835
287	6797517	2242236
288	6814237	2216395
289	6828396	2189796
290	6842177	2163162
291	6855425	2136451
292	6868694	2109837
293	6882215	2083391
294	6895384	2056928
295	6908624	2030575
296	6922116	2004383
297	6936013	1978393
298	6953295	1953434
299	6971484	1928777
