807c7f49d,c2d94313f,721c60041,7be4eb1e5,68084ece1,089ff7bcb,fac54bd7e,8e978ee65,f96fc0e40,a2d1008bb,6dae32858,49a10e089,a5fb00d9b,438d61d86,1d802b493,f553483a0,e9f57e5c6,b200c8b4a,767b6d272,7df9efba5,09a65c3a5,f8a3bb673,d49b0b346,18976b9f5,6cd62da62,70b564f7b,464676511,b7ce8464e,ed6e7fdaf,5a648a09d,a04684f1f,8579b0968,14fd68c51,eb4dc2cdf,690c387d6,912028f4e,f902239b9,7cd18fa5c,1a5a424f8,4d2c7622d
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000,2450000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000,2450000,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,0,0,0,0,0,0,0,0,0,0,0,2000000,2450000,2000000,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000,7000000,0,0,0,0,0,0,0,0,0,0,0,2000000,2450000,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,0,0,0,0,0,0,0,0,0,0,0,0,2000000,2450000,0,2000000,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,0,0,0,0,0,0,0,0,0,0,0,0,2000000,2450000,0,2000000,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,0,0,0,0,0,0,0,0,0,0,2000000,2450000,0,2000000,0,0,0,0,0,0,0,5600000,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,0,0,0,0,0,0,0,0,0,0,2000000,2450000,0,2000000,0,0,0,0,0,0,0,5600000,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,5600000,7000000,0,0,0,0,0,0,0,0,0,0,2000000,2450000,0,2000000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,5600000,7000000,0,0,0,0,0,0,0,0,0,0,0,2000000,2450000,0,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,2450000,0,2000000,0,0,0,0,0,0,0,0,0,5600000,0,0,0,0
0,0,0,0,0,0,0,0,0,2450000,0,0,0,0,0,0,0,0,0,0,0,0,2000000,0,2000000,0,0,0,0,0,0,0,0,0,5600000,0,0,0,0,2500000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5600000,0,0,2000000,2450000,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500000,0
0,0,0,0,0,0,0,0,2000000,2000000,0,0,0,0,0,0,0,0,0,0,0,2450000,0,0,0,0,0,0,0,0,0,0,0,5600000,0,0,0,2500000,0,0
0,0,0,0,0,0,2000000,2450000,2000000,0,2500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5600000,0,0,0,0,0,0,0,0,0
0,0,0,0,2000000,2000000,2450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5600000,0,0,0,0,0,2500000,0,0,0,200000
0,0,0,2000000,0,2450000,0,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5600000,0,0,0,0,0,2500000,0,0,0,200000,0
0,0,2450000,0,0,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000,0,0,0,0,0,5600000,0,0,0,0,0,0,2500000,0,0,200000,0,0,0
0,0,2000000,0,0,0,0,0,0,0,200000,0,0,0,0,0,0,2000000,0,2450000,0,0,0,0,5600000,0,0,0,0,0,0,2500000,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000,2450000,0,0,2000000,0,0,5600000,0,0,0,0,0,0,2500000,0,0,0,0,200000,0,0,0,0
2000000,2450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000,200000,0,0,0,5600000,0,0,0,0,0,2500000,0,0,0,0,0,0,0,0,0,0,0
2450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000,2000000,0,0,0,0,5600000,0,0,0,0,0,2500000,0,0,0,0,0,200000,0,0,0,0,0,0
2000000,0,0,0,5600000,0,0,0,0,0,0,0,0,2000000,2450000,0,0,0,0,0,0,0,0,0,0,2500000,0,0,0,0,0,200000,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5600000,0,0,0,2000000,0,2450000,0,2000000,0,0,0,0,0,0,0,0,2500000,0,0,0,0,0,200000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5600000,0,0,0,0,2450000,0,0,2000000,0,0,0,0,0,0,0,0,2500000,0,0,0,0,0,200000,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,5600000,0,0,0,2500000,0,0,0,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000,0,0,0,0,0,0,0,0,0,0,0
0,0,0,5600000,0,0,0,0,0,0,0,2000000,0,0,0,0,0,0,0,0,0,0,2500000,0,0,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0
