20868afc1,a46587cda,acdef5318,a72fcabd8,21216a0a8,dd16bb1ff,3b8208d28,4a6f8b2c1,ac2392a17,a8c320153,08565b519,6035df6d8,4b2316bd5,bc3f77679,43727fb35,c0d363088,51ebff825,fd1187d68,207871d87,7e0fd6d92,f4e243e21,037a54e89,cfa24e4be,d7f1f9e52,6760927a0,0d8f892fe,09e395f05,bcc18dd40,0f5fb7fe7,f10717d56,717039eef,41fb39de4,75e55b7a9,ff08cfbbe,965fa6747,9e88cfd02,df3ac443c,7acda93e6,62e587225,d313c892b
360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5240000,0,0,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5240000,0,0,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5240000,0,0,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,5240000,0,0,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,5240000,0,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5240000,0,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5240000,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84000,0,0,0,0,0,0,5240000,0,0,0,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,84000,0,0,0,0,0,0,5240000,0,0,0,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68000,0,84000,0,0,0,0,0,0,0,5240000,0,0,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800000,560000,68000,0,84000,0,0,0,0,0,0,0,5240000,0,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196000,800000,560000,68000,0,84000,0,0,0,0,0,0,0,5240000,0,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,196000,800000,560000,68000,0,84000,0,0,0,0,0,0,0,0,0,5240000,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,196000,800000,560000,68000,0,0,0,84000,0,0,0,0,5240000,0,0,0,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78000,0,0,196000,800000,560000,68000,84000,0,0,0,0,0,0,0,5240000,0,0,0,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,78000,0,0,196000,800000,560000,0,84000,68000,0,0,0,0,0,0,0,5240000,0,0,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,78000,0,0,196000,800000,68000,0,560000,84000,0,0,0,0,0,0,0,5240000,0,0,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,78000,0,0,196000,560000,68000,800000,0,84000,0,0,0,0,0,0,0,5240000,0,0,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,78000,0,0,800000,560000,196000,68000,0,84000,0,0,0,0,0,0,0,5240000,0,0,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,78000,0,196000,800000,0,560000,68000,0,84000,0,0,0,0,0,0,0,5240000,0,0,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,78000,0,196000,0,800000,560000,68000,0,0,0,84000,0,0,0,0,0,5240000,0,0,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,78000,196000,800000,560000,68000,84000,0,0,0,0,0,0,0,0,5240000,0,0,360000,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,78000,0,0,0,196000,800000,560000,0,84000,68000,0,0,0,0,0,0,0,5240000,0,0,360000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,78000,0,0,0,196000,800000,68000,0,560000,84000,0,0,0,0,0,0,0,5240000,0,0,360000,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,78000,0,0,196000,560000,68000,800000,0,84000,0,0,0,0,0,0,0,5240000,0,0,360000,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,78000,0,0,800000,560000,196000,68000,0,84000,0,0,0,0,0,0,0,5240000,0,0,360000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,78000,0,196000,800000,0,560000,68000,0,84000,0,0,0,0,0,0,0,5240000,0,0,360000,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78000,196000,800000,560000,68000,0,84000,0,0,0,0,0,0,0,5240000,0,360000,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,78000,0,0,0,196000,800000,560000,68000,0,84000,0,0,0,0,0,0,0,5240000,0,360000,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78000,0,0,0,196000,800000,560000,68000,0,84000,0,0,0,0,0,0,0,0,0,5240000,360000,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78000,0,0,196000,800000,560000,68000,0,84000,0,0,0,0,0,0,5240000,0,0,0,360000,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78000,0,0,196000,800000,560000,68000,0,84000,0,0,0,0,0,0,5240000,0,0,0,360000,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78000,0,0,196000,800000,560000,68000,0,84000,0,0,0,0,0,0,0,5240000,0,0,360000,0
