55e30b08f,24fef0850,1ac1a10d6,29c64fa08,82e9efdd8,befe0f9c4,4f0d3819a,4f325b517,849c542c3,57e01acca,54481feaa,3ebf86dd5,849c464e7,248db7ce7,7fd7c9eae,82c164590,9fe78f046,e92c373a6,abace6b29,d6be59f6a,2d1dd55ed,9a9b4a012,0ae364eb9,db1b70fc8,916ac9986,545d84e13,049e4daae,95837bbfb,9b8eff1d7,17a6e2978,b7ae337fe,256f1449f,1930cefda,89a26cda9,42451bcbf,722a0187a,5a86cabd0,e14727834,21a3176c5,16bf8b4ec
4600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1220000,4600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3972000,1220000,4600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3972000,1220000,4600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3972000,1220000,4600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3972000,1220000,4600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3972000,1220000,4600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3092000,0,0,0,0,3972000,4600000,1220000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3092000,0,0,0,0,1220000,3972000,4600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,0,0,3092000,0,0,0,3972000,0,1220000,4600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100000,0,0,3092000,0,0,0,0,3972000,1220000,4600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100000,0,0,3092000,0,0,0,0,3972000,1220000,4600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,100000,0,0,3092000,0,0,0,0,3972000,1220000,4600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,100000,0,3092000,0,0,0,0,0,3972000,4600000,1220000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,100000,0,0,3092000,0,0,0,0,1220000,3972000,4600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400000,0,0,0,0,0,0,0,100000,0,3092000,0,0,0,3972000,0,1220000,4600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3400000,0,0,0,0,0,100000,0,0,0,3092000,0,0,0,0,3972000,1220000,4600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3400000,0,0,0,0,0,0,100000,0,0,3092000,0,0,0,0,3972000,1220000,4600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3400000,0,0,0,0,0,0,100000,0,0,3092000,0,0,0,0,3972000,1220000,4600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3400000,0,0,0,0,0,0,100000,0,0,0,3092000,0,0,0,3972000,1220000,4600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3400000,0,0,0,0,0,0,100000,0,3092000,0,0,0,0,0,3972000,1220000,4600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3400000,0,0,0,0,0,0,100000,0,0,3092000,0,0,0,0,3972000,1220000,4600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3400000,0,0,0,0,0,0,100000,0,3092000,0,0,0,0,3972000,1220000,4600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3400000,0,0,0,0,0,0,100000,0,0,0,3092000,0,0,0,0,3972000,1220000,4600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3400000,0,0,0,0,0,0,100000,0,0,3092000,0,0,0,0,3972000,1220000,4600000,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3400000,0,0,0,0,0,0,100000,0,0,3092000,0,0,0,0,3972000,1220000,4600000,0,0,0,0,0,0,0,0,0,0,0,0
3900000,0,0,0,0,0,0,0,0,0,0,3400000,0,0,0,0,0,0,100000,0,0,3092000,0,0,0,0,3972000,1220000,4600000,0,0,0,0,0,0,0,0,0,0,0
0,3900000,0,0,0,0,0,0,0,0,0,0,3400000,0,0,0,0,0,0,100000,0,0,3092000,0,0,0,0,3972000,1220000,4600000,0,0,0,0,0,0,0,0,0,0
0,0,3900000,0,0,0,0,0,0,0,0,0,0,3400000,0,0,0,0,0,0,100000,0,0,3092000,0,0,0,0,3972000,1220000,4600000,0,0,0,0,0,0,0,0,0
0,0,0,3900000,0,0,0,0,0,0,0,0,0,0,0,3400000,0,0,0,0,0,100000,0,0,3092000,0,0,0,0,3972000,1220000,4600000,0,0,0,0,0,0,0,0
0,0,0,0,0,3900000,0,0,0,0,0,0,0,0,0,0,3400000,0,0,0,0,0,0,100000,0,0,3092000,0,0,0,0,3972000,4600000,1220000,0,0,0,0,0,0
4444000,0,0,0,0,0,3900000,0,0,0,0,0,0,0,0,0,0,3400000,0,0,0,0,0,0,100000,0,0,3092000,0,0,0,0,1220000,3972000,4600000,0,0,0,0,0
0,4444000,0,0,0,0,0,0,3900000,0,0,0,0,0,0,0,0,0,3400000,0,0,0,0,0,0,100000,0,0,3092000,0,0,0,3972000,0,1220000,4600000,0,0,0,0
2784000,0,4444000,0,0,0,0,3900000,0,0,0,0,0,0,0,0,0,0,0,3400000,0,0,0,0,0,0,100000,0,0,3092000,0,0,0,0,3972000,1220000,4600000,0,0,0
0,2784000,0,4444000,0,0,0,0,0,3900000,0,0,0,0,0,0,0,0,0,0,3400000,0,0,0,0,0,0,100000,0,0,3092000,0,0,0,0,3972000,1220000,4600000,0,0
2800000,0,2784000,0,4444000,0,0,0,0,0,3900000,0,0,0,0,0,0,0,0,0,0,3400000,0,0,0,0,0,0,100000,0,0,3092000,0,0,0,0,3972000,1220000,4600000,0
