8d035d41e,9d435a85b,ca25aad9f,f2af9300f,c89ae4ce0,4e1a8f6eb,b904b8345,78bc2558b,d92ea0b2a,f3b6dabf7,150504397,60cd556c9,635fbbd2c,783ee6e9a,73361d959,fb6da0420,13f7f9c70,c5c073bb0,a235f5488,6610f90f1,0aab2f918,6d46740f1,92ba988e1,85dcc913d,b19e65a65,8d4b52f9a,1b1a893f5,704e2dc55,ffd50f0bf,6ae0787f3,ed0860a34,fa1efdadd,4ef309fc3,4a93ad962,61063fa1c,9bb02469c,f32763afc,5fad07863,22f05c895,4569d5378
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346000.0,180000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346000.0,180000.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346000.0,180000.0,0.0,540000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346000.0,180000.0,0.0,540000.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346000.0,180000.0,0.0,540000.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346000.0,180000.0,0.0,540000.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180000.0,346000.0,0.0,540000.0,0.0,0.0,0.0,0.0,600000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346000.0,0.0,180000.0,540000.0,0.0,0.0,0.0,0.0,600000.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346000.0,180000.0,540000.0,0.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346000.0,180000.0,0.0,0.0,540000.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346000.0,180000.0,0.0,540000.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,252000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346000.0,180000.0,0.0,540000.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,252000.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180000.0,346000.0,0.0,540000.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,252000.0,0.0,0.0,355000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346000.0,0.0,180000.0,540000.0,0.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,252000.0,0.0,0.0,355000.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346000.0,180000.0,540000.0,0.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,252000.0,0.0,0.0,355000.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346000.0,180000.0,0.0,0.0,540000.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,252000.0,0.0,0.0,355000.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346000.0,180000.0,0.0,540000.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,252000.0,0.0,0.0,0.0,355000.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346000.0,180000.0,0.0,540000.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,252000.0,0.0,355000.0,0.0,0.0,0.0,0.0,428666.66
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346000.0,180000.0,0.0,540000.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,252000.0,0.0,0.0,355000.0,0.0,0.0,0.0,0.0,428666.66,522000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346000.0,180000.0,0.0,540000.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,252000.0,0.0,355000.0,0.0,0.0,0.0,0.0,0.0,428666.66,522000.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346000.0,180000.0,0.0,540000.0,0.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,252000.0,0.0,0.0,0.0,355000.0,0.0,0.0,0.0,428666.66,522000.0,0.0,1200000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346000.0,180000.0,0.0,540000.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,252000.0,0.0,0.0,355000.0,0.0,0.0,0.0,0.0,428666.66,522000.0,0.0,1200000.0,1000000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346000.0,180000.0,0.0,540000.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,252000.0,0.0,0.0,355000.0,0.0,0.0,0.0,0.0,428666.66,522000.0,0.0,1200000.0,1000000.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346000.0,180000.0,0.0,540000.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,252000.0,0.0,0.0,0.0,355000.0,0.0,0.0,0.0,0.0,428666.66,522000.0,0.0,1200000.0,1000000.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346000.0,180000.0,0.0,540000.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,252000.0,0.0,355000.0,0.0,0.0,0.0,428666.66,0.0,522000.0,0.0,1200000.0,1000000.0,0.0,0.0,86000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346000.0,180000.0,0.0,540000.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,252000.0,0.0,0.0,355000.0,0.0,0.0,0.0,0.0,522000.0,428666.66,0.0,1200000.0,1000000.0,0.0,0.0,86000.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346000.0,180000.0,0.0,540000.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,252000.0,0.0,355000.0,0.0,0.0,0.0,0.0,0.0,428666.66,0.0,522000.0,1200000.0,1000000.0,0.0,0.0,86000.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346000.0,180000.0,0.0,540000.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,252000.0,0.0,0.0,0.0,355000.0,0.0,0.0,0.0,428666.66,522000.0,1200000.0,0.0,1000000.0,0.0,0.0,86000.0,0.0,0.0,340000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346000.0,180000.0,0.0,540000.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,252000.0,0.0,0.0,355000.0,0.0,0.0,0.0,0.0,428666.66,522000.0,0.0,1000000.0,1200000.0,0.0,0.0,86000.0,0.0,0.0,340000.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,180000.0,346000.0,0.0,540000.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,252000.0,0.0,0.0,355000.0,0.0,0.0,0.0,0.0,428666.66,522000.0,0.0,1200000.0,1000000.0,0.0,0.0,86000.0,0.0,0.0,340000.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,346000.0,0.0,180000.0,540000.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,252000.0,0.0,0.0,355000.0,0.0,0.0,0.0,428666.66,0.0,522000.0,0.0,1200000.0,1000000.0,0.0,86000.0,0.0,0.0,0.0,340000.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,346000.0,180000.0,540000.0,0.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,252000.0,0.0,0.0,355000.0,0.0,0.0,0.0,0.0,522000.0,428666.66,0.0,1200000.0,1000000.0,0.0,0.0,0.0,86000.0,0.0,340000.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,346000.0,180000.0,0.0,0.0,540000.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,252000.0,0.0,0.0,355000.0,0.0,0.0,0.0,0.0,428666.66,0.0,522000.0,1200000.0,1000000.0,0.0,0.0,86000.0,0.0,0.0,340000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,346000.0,180000.0,0.0,540000.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,252000.0,0.0,0.0,355000.0,0.0,0.0,0.0,0.0,428666.66,522000.0,1200000.0,0.0,1000000.0,0.0,0.0,86000.0,0.0,340000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302000.0
0.0,346000.0,180000.0,0.0,540000.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,252000.0,0.0,0.0,355000.0,0.0,0.0,0.0,0.0,428666.66,522000.0,0.0,1000000.0,1200000.0,0.0,0.0,86000.0,0.0,0.0,0.0,340000.0,0.0,0.0,0.0,0.0,0.0,302000.0,0.0
