b33e83cdc,ab8a614fa,bf6e38e39,eb7981dd4,30a47af70,f7eee8212,9847e14d8,850e01a62,ecd4c66ec,56a21fe66,3f382323a,b0b1c81ac,b47be7e76,1998aa946,ccc9ba695,2e55d0383,f471e9e82,56ec098a1,172a58959,809a511d0,a5e0d3ddb,d8ea347e9,945dad481,d66bbb5ed,c98c2d3c0,94ecf4c83,bec7c48dd,ea18d720e,bee71cf84,2f92a1a45,3be79d4a5,a388d3605,937854db6,76e092b8c,1d744ff92,a43c53c45,6045a2949,3af1785ee,36cde3ce8,f926a4cb4
278000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,278000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,278000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,278000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,278000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,278000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,278000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320000.0,0.0,0.0,0.0,0.0,0.0,0.0,278000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,320000.0,0.0,0.0,0.0,0.0,0.0,0.0,278000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,320000.0,0.0,0.0,0.0,0.0,0.0,0.0,278000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100000.0,0.0,0.0,320000.0,0.0,0.0,0.0,0.0,0.0,0.0,278000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160000.0,100000.0,0.0,0.0,320000.0,0.0,0.0,0.0,0.0,0.0,0.0,278000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93333.34,160000.0,100000.0,0.0,0.0,320000.0,0.0,0.0,0.0,0.0,0.0,0.0,278000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326000.0,0.0,93333.34,160000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320000.0,278000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179333.34,326000.0,0.0,93333.34,160000.0,100000.0,0.0,320000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,179333.34,326000.0,0.0,93333.34,160000.0,100000.0,0.0,320000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,179333.34,326000.0,0.0,93333.34,160000.0,0.0,0.0,320000.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,278000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115000.0,0.0,0.0,179333.34,326000.0,0.0,93333.34,100000.0,0.0,0.0,320000.0,0.0,0.0,160000.0,0.0,0.0,0.0,0.0,278000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,115000.0,0.0,0.0,179333.34,326000.0,0.0,160000.0,100000.0,0.0,0.0,320000.0,0.0,93333.34,0.0,0.0,0.0,0.0,0.0,278000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150000.0,0.0,115000.0,0.0,0.0,179333.34,326000.0,93333.34,160000.0,100000.0,0.0,0.0,320000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238000.0,150000.0,0.0,115000.0,0.0,0.0,179333.34,0.0,93333.34,160000.0,100000.0,0.0,0.0,326000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320000.0,278000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,238000.0,150000.0,0.0,115000.0,0.0,0.0,326000.0,0.0,93333.34,160000.0,100000.0,0.0,179333.34,320000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,238000.0,150000.0,0.0,115000.0,0.0,179333.34,326000.0,0.0,93333.34,160000.0,100000.0,0.0,0.0,320000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,238000.0,150000.0,0.0,115000.0,0.0,179333.34,326000.0,0.0,93333.34,160000.0,0.0,0.0,0.0,320000.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,278000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,238000.0,150000.0,0.0,0.0,0.0,179333.34,326000.0,0.0,93333.34,115000.0,100000.0,0.0,0.0,320000.0,0.0,0.0,0.0,160000.0,0.0,0.0,0.0,0.0,278000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,238000.0,150000.0,115000.0,0.0,0.0,179333.34,326000.0,0.0,0.0,160000.0,100000.0,0.0,0.0,320000.0,0.0,0.0,93333.34,0.0,0.0,0.0,0.0,0.0,278000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,238000.0,0.0,115000.0,0.0,0.0,179333.34,326000.0,150000.0,93333.34,160000.0,100000.0,0.0,0.0,320000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,0.0,115000.0,0.0,0.0,179333.34,238000.0,0.0,93333.34,160000.0,100000.0,0.0,0.0,320000.0,326000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,238000.0,150000.0,0.0,115000.0,0.0,0.0,0.0,326000.0,0.0,93333.34,160000.0,100000.0,0.0,0.0,179333.34,320000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238000.0,150000.0,0.0,115000.0,0.0,0.0,179333.34,326000.0,0.0,93333.34,160000.0,100000.0,0.0,0.0,0.0,320000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238000.0,150000.0,0.0,0.0,0.0,0.0,179333.34,326000.0,0.0,93333.34,160000.0,115000.0,100000.0,0.0,0.0,320000.0,0.0,0.0,0.0,0.0,0.0,0.0,278000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238000.0,150000.0,0.0,115000.0,0.0,0.0,179333.34,326000.0,0.0,93333.34,0.0,160000.0,100000.0,0.0,0.0,320000.0,0.0,0.0,0.0,0.0,0.0,0.0,278000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238000.0,0.0,0.0,115000.0,0.0,0.0,179333.34,326000.0,0.0,150000.0,93333.34,160000.0,100000.0,0.0,0.0,320000.0,0.0,0.0,0.0,0.0,0.0,0.0,278000.0,0.0,0.0,0.0,0.0,0.0
120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,0.0,115000.0,0.0,0.0,179333.34,326000.0,238000.0,0.0,93333.34,160000.0,100000.0,0.0,0.0,320000.0,0.0,0.0,0.0,0.0,0.0,0.0,278000.0,0.0,0.0,0.0,0.0
0.0,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238000.0,150000.0,0.0,115000.0,0.0,0.0,179333.34,0.0,326000.0,0.0,93333.34,160000.0,100000.0,0.0,0.0,320000.0,0.0,0.0,0.0,0.0,0.0,0.0,278000.0,0.0,0.0,0.0
0.0,0.0,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238000.0,150000.0,0.0,115000.0,0.0,0.0,0.0,179333.34,326000.0,0.0,93333.34,160000.0,100000.0,0.0,0.0,320000.0,0.0,0.0,0.0,0.0,0.0,0.0,278000.0,0.0,0.0
