b26d16167,930f989bf,ca58e6370,aebe1ea16,03c589fd7,600ea672f,9509f66b0,b0095ae64,70f4f1129,1c62e29a7,32a0342e2,2fc5bfa65,09c81e679,49e68fdb9,aacffd2f4,026ca57fd,61483a9da,227ff4085,29725e10e,5878b703c,50a0d7f71,0d1af7370,7c1af7bbb,4bf056f35,3dd64f4c4,b9f75e4aa,423058dba,150dc0956,adf119b9a,a8110109e,6c4f594e0,c44348d76,1fcba48d0,db027dbaf,8d12d44e1,8d13d891d,6ff9b1760,482715cbd,f81c2f1dd,dda820122
1540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,1540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,160000,1540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,160000,1540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,160000,1540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,160000,1540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,160000,1540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1540000,160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,160000,0,1540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,160000,1540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,0,0,0,0,0,0,0,0,0,160000,1540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600000,220000,0,0,0,0,0,0,0,0,0,160000,1540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,600000,220000,0,0,0,0,0,0,0,0,0,160000,1540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6400000,0,600000,220000,0,0,0,0,0,0,0,0,0,1540000,160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6400000,0,600000,220000,0,0,0,0,0,0,0,0,160000,0,1540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,6400000,0,600000,220000,0,0,0,0,0,0,0,0,0,160000,1540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6400000,0,600000,0,220000,0,0,0,0,0,0,0,0,160000,1540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6400000,0,220000,600000,0,0,0,0,0,0,0,0,0,160000,1540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,6400000,600000,0,220000,0,0,0,0,0,0,0,0,0,160000,1540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6400000,600000,220000,0,0,0,0,0,0,0,0,0,160000,1540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,0,0,0,0,0,0,6400000,0,0,600000,220000,0,0,0,0,0,0,0,0,0,160000,1540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,200000,0,0,0,0,0,0,0,6400000,0,600000,220000,0,0,0,0,0,0,0,0,0,160000,1540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,320000,200000,0,0,0,0,0,0,0,6400000,0,600000,220000,0,0,0,0,0,0,0,0,0,160000,1540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,320000,200000,0,0,0,0,0,0,0,6400000,0,600000,0,220000,0,0,0,0,0,0,0,0,160000,1540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,320000,200000,0,0,0,0,0,0,0,6400000,0,220000,600000,0,0,0,0,0,0,0,0,0,160000,1540000,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,320000,200000,0,0,0,0,0,0,0,6400000,600000,0,220000,0,0,0,0,0,0,0,0,0,160000,1540000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,320000,200000,0,0,0,0,0,0,0,0,6400000,600000,220000,0,0,0,0,0,0,0,0,0,160000,1540000,0,0,0,0,0,0,0,0,0,0,0
14600000,0,0,0,0,0,320000,0,200000,0,0,0,0,0,6400000,0,0,600000,220000,0,0,0,0,0,0,0,0,0,160000,1540000,0,0,0,0,0,0,0,0,0,0
0,14600000,0,0,0,0,0,200000,320000,0,0,0,0,0,0,0,6400000,0,600000,220000,0,0,0,0,0,0,0,0,0,160000,1540000,0,0,0,0,0,0,0,0,0
220000,0,14600000,0,0,0,0,320000,0,200000,0,0,0,0,0,0,0,6400000,0,600000,220000,0,0,0,0,0,0,0,0,0,160000,1540000,0,0,0,0,0,0,0,0
220000,0,220000,0,14600000,0,0,0,0,0,320000,200000,0,0,0,0,0,0,0,6400000,0,600000,220000,0,0,0,0,0,0,0,0,0,1540000,160000,0,0,0,0,0,0
0,220000,0,220000,0,14600000,0,0,0,0,0,320000,200000,0,0,0,0,0,0,0,6400000,0,600000,220000,0,0,0,0,0,0,0,0,160000,0,1540000,0,0,0,0,0
0,0,220000,0,220000,0,14600000,0,0,0,0,0,320000,200000,0,0,0,0,0,0,0,6400000,0,600000,220000,0,0,0,0,0,0,0,0,0,160000,1540000,0,0,0,0
0,0,0,220000,0,220000,0,0,14600000,0,0,0,0,320000,0,200000,0,0,0,0,0,0,6400000,0,600000,220000,0,0,0,0,0,0,0,0,0,160000,1540000,0,0,0
520000,0,0,0,220000,0,220000,14600000,0,0,0,0,0,0,200000,320000,0,0,0,0,0,0,0,6400000,0,600000,220000,0,0,0,0,0,0,0,0,0,160000,1540000,0,0
0,520000,0,0,0,220000,0,0,220000,14600000,0,0,0,0,320000,0,200000,0,0,0,0,0,0,0,6400000,0,600000,220000,0,0,0,0,0,0,0,0,0,160000,1540000,0
