c95423453,84d4d30b8,3bb7bc789,13a2ecd25,5c20afdb3,29bf806d6,5c0b5d1d4,4e98771c9,3770cb9fa,04ef53271,57412a852,d5d85bc77,963c9c0ac,a48a740ef,dacebaeaf,174bec4d1,3974799dd,4f0b30912,e8d16b5b5,b728093e6,b4a4a4df8,44c06f79a,7f3479656,ee7e4581d,890d30d93,59d2470ed,f18d3931b,366841793,211314d56,538df95cd,dc6902c31,8ca717e6d,15b0fe826,f7b2550f2,4a9e09bff,16be01500,c6cbb2938,055232767,87ba106d3,133714358
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,426000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,426000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,426000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,426000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,426000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,426000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2116000,0,0,0,0,0,0,426000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2116000,426000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2116000,0,0,0,0,0,0,0,426000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2116000,0,0,0,0,0,0,0,426000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2116000,0,0,0,0,0,0,0,426000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2116000,0,0,0,0,0,0,0,426000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2116000,0,0,0,0,0,0,0,426000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,0,0,0,0,0,0,2116000,0,0,0,0,0,0,0,426000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,380000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2116000,426000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,380000,2116000,0,0,0,0,0,0,0,0,426000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,380000,0,0,0,0,0,0,0,2116000,0,0,0,0,0,0,0,0,426000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,380000,0,0,0,0,0,0,0,2116000,0,0,0,0,0,0,0,0,426000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,380000,0,0,0,0,0,0,0,2116000,0,0,0,0,0,0,0,0,426000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,380000,0,0,0,0,0,0,0,2116000,0,0,0,0,0,0,0,0,426000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,380000,0,0,0,0,0,0,0,2116000,0,0,0,0,0,0,0,0,426000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,380000,0,0,0,0,0,0,0,2116000,0,0,0,0,0,0,0,0,426000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380000,2116000,0,0,0,0,0,0,0,426000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,380000,0,0,0,0,0,0,0,0,2116000,0,0,0,0,0,0,0,426000,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,380000,0,0,0,0,0,0,0,0,2116000,0,0,0,0,0,0,426000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,380000,0,0,0,0,0,0,0,0,2116000,0,0,0,0,0,0,426000,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,380000,0,0,0,0,0,0,0,0,2116000,0,0,0,0,0,0,426000,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,380000,0,0,0,0,0,0,0,0,2116000,0,0,0,0,0,0,426000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380000,0,0,0,0,0,0,0,0,2116000,0,0,0,0,0,0,426000,0,0,0,0,0,0,0,0
9252000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380000,0,0,0,0,0,0,0,2116000,0,0,0,0,0,0,426000,0,0,0,0,0,0,0
