index,rmse,feature
8,0.6141472400640715,20aa07010
4358,0.6142509305288171,f190486d6
2325,0.6150155885549639,1931ccfdd
4579,0.6162001613817195,e176a204a
4240,0.6163749100013214,62e59a501
3664,0.6170937486084273,324921c7b
4758,0.6170995116634364,c47340d97
2755,0.6174186018850045,9fd594eec
594,0.6178044357031098,66ace2992
1556,0.6197930658275486,024c577b9
1870,0.6201487516300109,32174174c
3866,0.6204473812633093,491b9ee45
634,0.6204769340712435,de4e75360
1478,0.6207691294328667,b98f3e0d7
3235,0.6210310453562216,84d9d1228
3508,0.6210465310238245,c928b4b74
2500,0.6212322314381938,58e2e02e6
4996,0.6217550985925375,lstm_AE_col1_0
3660,0.6218739249655062,eeb9cd3aa
5247,0.6219748003664793,lstm_AE_col51_1
2801,0.6224258397553218,27461b158
908,0.6224414796591781,fc99f9426
3169,0.6225871630380561,703885424
5093,0.6227028327384299,lstm_AE_col20_2
1942,0.6228529250717574,c2dae3a5a
2050,0.6230960229020717,0ff32eb98
5043,0.6231231930704089,lstm_AE_col10_2
5089,0.623170198092956,lstm_AE_col19_3
3994,0.6234031270397584,70feb1494
4246,0.623974797211079,1d04efde3
4027,0.6242397093782374,adb64ff71
4243,0.6242578450999182,15ace8c9f
1085,0.6243244599939219,540cc3cd1
798,0.6244971154086925,1977eaf08
1602,0.6245794132658316,ad009c8b9
3928,0.6246281409330687,d6bb78916
5044,0.6246633938941912,lstm_AE_col10_3
2342,0.6246854796443853,83635fb67
3455,0.6246973769711411,f58fb412c
1427,0.6248643816453063,1db387535
3418,0.6248885990057224,d6470c4ce
2119,0.6249138178166206,d48c08bda
595,0.6249222408397995,350473311
437,0.6249300694598106,7623d805a
5045,0.625056370323229,lstm_AE_col10_4
5358,0.6251024554912855,lstm_AE_col73_2
4718,0.6251061462332288,04b88be38
500,0.6252555226999341,861076e21
1995,0.6252851816115212,ba42e41fa
1142,0.6252981409678039,bb1113dbb
851,0.6253314537423703,a3fc511cd
5041,0.6254173821731894,lstm_AE_col10_0
1972,0.6255043491167376,277ef93fc
3145,0.6255419987723846,8e4d0fe45
5359,0.625629147400729,lstm_AE_col73_3
1423,0.625730245436757,57dd44c29
4084,0.6257471956923597,2288333b4
878,0.6257577603234159,6eef030c1
2548,0.6258559572052287,5e645a169
37,0.6259231337478186,87ffda550
4204,0.6259627927755519,45f6d00da
5356,0.6259635847946662,lstm_AE_col73_0
1564,0.625964534947402,4d2671746
458,0.6259665969402638,e078302ef
1797,0.6260267630524923,2ec5b290f
2835,0.6260380791459119,fb0f5dbfe
3086,0.6261107074594194,db3839ab0
3704,0.6261441761113675,01005e5de
1530,0.6262556531611285,b43a7cfd5
1500,0.6262941079320495,ce3d7595b
5360,0.6263180370213134,lstm_AE_col73_4
2199,0.6263389076576837,b7c931383
3815,0.6264215790036101,5ac278422
2444,0.62650447967628,f02ecb19c
1888,0.6265506834509218,d5e6c18b0
5073,0.6265607160903504,lstm_AE_col16_2
5218,0.6265800806493211,lstm_AE_col45_2
5187,0.6265961309642396,lstm_AE_col39_1
2295,0.6266231268238805,cbb673163
