feature,rmse,nb_zeros,nunique
3f382323a,0.8062967412787021,4343,85
6d773e96f,0.8057630645048832,4425,23
578b81a77,0.8057061982918271,4099,182
431e67099,0.8051500308504875,4419,30
2cc11689d,0.805043296143479,4417,32
226e2b8ac,0.8050165005921349,4194,174
1ffee02ec,0.8050016215115718,4431,23
2a7ac8010,0.804856553548672,4425,32
e2979b858,0.8046591345305104,4329,72
3b54cc2cf,0.8046541072513056,4152,102
3f8854df3,0.8044651452744958,4230,91
9ff21281c,0.8044412064322174,4118,227
c104aeb2e,0.8044266121127722,4287,116
3da2882fd,0.8044157520336489,4362,56
985f4005a,0.8043900696166715,4452,7
bf59c51c3,0.8043506607293858,4023,160
52a87bee1,0.8042989587198826,4453,6
17b81a716,0.8042857263986273,4227,95
2b6f74f09,0.8042760706297494,4335,61
85505df26,0.804264293639551,4421,29
8909db7d5,0.8042553112411841,4421,27
3fd19b6cd,0.8042177228976812,4453,7
ee7c4db36,0.804210484234396,4433,19
4fe8154c8,0.8042034512729973,3865,421
c8c6fe1a0,0.8041229891836893,4414,35
5a5eabaa7,0.8041179142258192,4275,119
cf466bdd6,0.8041112760689134,4453,6
fdae76b2c,0.803961361839569,4234,114
2c6c62b54,0.8039481646315507,3920,220
aab0aeb4b,0.8039127138541106,4428,26
e7c0cfd0f,0.803893333604039,3750,340
8e028d2d2,0.8038904512372843,4286,114
b0e45a9f7,0.8038833613460509,4377,44
d8e8397ce,0.8038784658690923,4425,25
9c502dcd9,0.8038695877091407,4312,118
828b327a6,0.8038640060931969,4219,108
4fc9da4e3,0.8038600435149963,4448,12
717039eef,0.8037738261208963,4424,33
6249d8488,0.8037534693671444,4449,10
0761cbb48,0.8036965179060637,4368,58
704e2dc55,0.803665228835478,4369,68
d6bca77b4,0.8036476484420284,4415,29
e53805953,0.8036409203489019,4058,198
05527f031,0.8036359415228954,4255,107
68a945b18,0.8035687147678383,3610,327
e438105db,0.8035432846949563,4231,103
0f2b86f4a,0.8035235442853399,4255,128
8d8276242,0.8035195179411019,4087,230
58939b6cc,0.8035191497972941,4349,70
d73900784,0.8035113758467802,4448,9
1bf6240eb,0.8035034080785424,4231,106
0564ff72c,0.8034639028947006,4228,109
87a91f998,0.8034531902037828,4323,108
609784003,0.8034454658802926,4446,10
3aad48cda,0.8034437650454314,4121,195
3305c8063,0.8034339527577201,4397,57
ee39f2138,0.8033924586673297,4441,10
