ID,leaked_target_0,leaked_target_1,leaked_target_2,leaked_target_3,leaked_target_4,leaked_target_5,leaked_target_6,leaked_target_7,leaked_target_8,leaked_target_9,leaked_target_10,leaked_target_11,leaked_target_12,leaked_target_13,leaked_target_14,leaked_target_15,leaked_target_16,leaked_target_17,leaked_target_18,leaked_target_19,leaked_target_20,leaked_target_21,leaked_target_22,leaked_target_23,leaked_target_24,leaked_target_25,leaked_target_26,leaked_target_27,leaked_target_28,leaked_target_29,leaked_target_30,leaked_target_31,leaked_target_32,leaked_target_33,leaked_target_34,leaked_target_35,leaked_target_36,leaked_target_37,compiled_leak
000d6aaf2,38000000.0,38000000.0,38000000.0,,38000000.0,,38000000.0,,,,38000000.0,38000000.0,,38000000.0,38000000.0,,,38000000.0,,38000000.0,,,,,,38000000.0,,38000000.0,,38000000.0,,38000000.0,,38000000.0,38000000.0,,,,38000000.0
000fbd867,600000.0,,,,,,600000.0,,600000.0,,,600000.0,,,,600000.0,,,,,,,,,,600000.0,,,,,,,,,,,,,600000.0
0027d6b71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0028cbf45,,,,,,,,,,,2000000.0,,,,,,,,,,,,,,,,2000000.0,,,,,,,,,,,,2000000.0
002a68644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002dbeb22,,,,2800000.0,,,,2800000.0,,,,2800000.0,,2800000.0,2800000.0,2800000.0,,,,2800000.0,,2800000.0,2800000.0,,,,,,,,,,2800000.0,,,,,,2800000.0
003925ac6,,,,164000.0,,164000.0,,,,,,,164000.0,164000.0,164000.0,,164000.0,,,164000.0,,,,,,164000.0,,164000.0,,,,,,,,164000.0,,,164000.0
003eb0261,600000.0,,,,,,600000.0,,,,,,,,600000.0,600000.0,,,,,,,,600000.0,,600000.0,,,,,,,,,,,,,600000.0
004b92275,979000.0,979000.0,979000.0,979000.0,979000.0,979000.0,,,,979000.0,979000.0,979000.0,,979000.0,979000.0,979000.0,,979000.0,979000.0,,,,,,,,,,979000.0,,979000.0,,,979000.0,979000.0,979000.0,,979000.0,979000.0
0067b4fef,,,,,,,,460000.0,,,,,,,,,,,,,460000.0,460000.0,,,,,,,,,,,,,,,,,460000.0
00689ee2c,,,1100000.0,,,,,,,,,,,,,,1100000.0,,,,1100000.0,,,,,,,,,,,,,,,,,,1100000.0
0069007ac,,,16000000.0,,,,,,,,,,16000000.0,16000000.0,,,,,,16000000.0,,,,,16000000.0,,,,,,,16000000.0,,,,,,,16000000.0
006b60dd7,,,,,,,,,354000.0,,354000.0,,354000.0,354000.0,354000.0,,,354000.0,,,,,,,,,,,,,,,,,,,,,354000.0
008057126,7000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100000.0,7000000.0
008825875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0096e207e,,,,,,,,800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800000.0
00c2deb75,,200000.0,200000.0,200000.0,,,,,200000.0,,200000.0,200000.0,,,,,,,200000.0,,200000.0,,,,,,200000.0,,,,,,200000.0,,200000.0,,,,200000.0
