ID,target
000137c73,1804613.197884924
00021489f,1794843.833630597
0004d7953,1928072.9870707327
00056a333,3847430.805913823
00056d8eb,1077397.1941686869
0005fc190,2104279.2562991874
000787e86,1757610.9332630811
0008510a0,1736363.6566794077
000895faf,3822482.3457881105
000986fba,1371427.9158305512
0009efcc5,20000000.0
000dd8f00,13135837.097924877
000e1cdc2,1948661.5438121785
00103739c,3284508.7345437235
00134b367,1284604.5083425562
001788d0d,1687172.3645277577
0019c8ad7,1791279.4566890928
001a267b9,647566.078650207
001a85486,2075270.6675714217
001c4de06,2856892.3524072804
001f9014b,1916696.7759897385
00216fb94,3210201.1602920755
00235690e,3377043.488474827
00240739d,15407496.306639979
0024c3747,2551532.430470187
00297052d,1687293.5889827288
002ab8f85,1421373.4270719313
002bed5c0,1950212.2075732616
002bf3974,3404462.4930042895
002d23a26,2455156.261243459
002f27de9,2863058.0528816464
0030d8bb4,2982806.3953666952
003146acd,2329541.0693255053
003223263,1316894.4665701354
00335575e,2866447.9830008694
00337cf9d,1341339.919549515
003394397,2736888.2496919543
0036358a3,5267653.352421981
003770d30,2468478.6722486345
003bed5ea,1012355.6263768506
003ea6427,1643567.4368676003
003ef8132,7932507.977607632
003fd1723,3385199.1536536543
0041861b4,2943750.0
0042b718b,2848111.7262441725
004381d8f,3038392.8774420493
0043ca764,2714889.3229569136
004486837,509882.0856075631
0045c123e,4000000.0
0048915c6,2509674.353818014
004ab9a09,1518158.248619556
004b2e1c9,3033288.188130193
004c54732,2081731.1452817523
004cdefce,7399883.022144432
004dd971b,2022666.66
004f9329b,1073165.9935569305
004fd2bca,1044071.4980046301
0054bfedb,1693032.4385032116
0054ec58a,306526.75938027643
00551f45d,20000000.0
005777b4c,1838727.5763401345
00578d6ea,2002713.9696253412
005802488,2230248.1044514524
0059833b6,3209197.3028738135
005a70085,2222455.2430906184
005b148a0,1753575.8321713575
005c28df4,1727878.0132259894
005f8dc26,3555156.7408343186
00603c202,2461147.3996610097
006049609,5551650.482102097
00612f47e,766948.7456681941
00647a57f,8034015.455560483
0065853ee,1527903.6518816508
006589d5e,802781.5257927064
006598823,10000000.0
0065c093c,1488999.072627749
006738351,3241264.1893906337
006a0c6a8,1518509.4631354897
006e9efe6,3191195.3475821805
006f029d3,780899.787867323
0070f35a2,2407721.56210756
007135f85,5496275.998851549
007285433,40000000.0
00735e101,2132588.1830961406
0074ecf4e,3914397.6814340064
007635fa9,1402439.789140844
007723613,2538757.2161461865
007867da9,603208.2930725251
0078bfbd6,628588.4323594037
0078ce229,600474.4406725444
007a89d50,3725824.6051317113
007d43dfa,2865294.957480709
007ee9e05,2705368.9811100275
007ffeae2,2403978.797656617
00835c85c,2453196.8875785405
0084b08f1,2082218.7773732545
0087fb290,1329663.8318119072
0088a96bd,2794857.14
008ac4292,3323545.386885771
008d8cca8,2100215.092673294
008e07b8c,2307013.9222231265
008e5e25a,2547920.6507673883
0094edcdb,933333.34
00950141c,1918586.8815164906
009566ef1,1429425.120945105
0095c81d4,979386.4859516091
0097a6ed4,12400000.0
0098fef9a,1758134.2888956433
009b321ec,10286421.739700248
009cd681e,1744446.482695047
009f34f86,969546.3316750864
009f35cd3,2544343.0776498
009f65109,6000000.0
00a19014a,18000000.0
00a27e76a,360000.0
00a3b6ef7,1430788.0861367614
00a427603,1174071.5816642032
00a6dc8be,2583511.773839231
00a811734,10000000.0
00a8f58a7,3942502.6340085566
00aaae151,2407727.859220746
00ab17f67,1754088.7631536575
00ac2d3a5,2351698.4445361802
00adab1b6,2443878.608828909
00aef0d56,627819.5629180508
00b0b06c4,2100000.0
00b0e2303,531000.0
00b1fbbc9,694888.9251237775
00b43e0c1,4103231.6743154204
00b7190a8,1275032.9608391966
00b722e1b,190000.0
00bba815f,2457262.7518751044
00bbb1c42,2093936.963443691
00bc2b665,864928.4873684167
00bc35689,2800000.0
00be23f52,2684784.808512132
00be24ac5,1925599.16914818
00bfd0f70,3536273.57854609
00c02f73e,3659338.288928724
00c08e5b3,2473906.955536025
00c8690ff,6208645.656615496
00c8df4d5,800000.0
00c8e30de,3501976.0614633365
00ca3fb04,823711.5796985839
00cabf621,1416915.4419058247
00cb48ae3,1502109.5242995387
00cb6b147,2418983.7938424265
00cc91a22,3514399.5891575813
00cd65e9d,1609384.7733786423
00cd7d6a8,1294201.927133049
00cdc1483,1703275.9870329187
00ce9bea5,1558268.4072069717
00cea0091,5462311.964239087
00cea68c6,2761823.297943432
00d5a5975,3361000.8142831367
00d80a3a4,37500000.0
00d9f3864,353740.0073348229
00da4bd31,2680322.226157617
00df4dd77,8991795.040492548
00e1a55bf,1066175.1938171526
00e332971,1812034.0506410939
00e5b6b1b,2245084.399485148
00e85d5e3,1206128.7430033537
00e90abfa,1440904.7904581092
00e9708b4,1452401.7517522895
00e9c680f,20000000.0
00eaa4394,3148448.535656604
00eae8832,1893198.1098487389
00ebefdc0,2798222.343028332
00ecbcb1b,1408631.9557546538
00ed49382,2932803.3845257736
00ed87564,6754760.490981737
00ef96cfd,90666.66
00efe7ca3,3884066.1303781397
00f36aa18,1039414.8898997224
00f3fb071,3366383.6596014225
00f43f548,1648627.6153940866
00f4d58ec,1856486.2709563165
00f56e106,3477756.9077513735
00f84d8c2,2027223.7257441473
00f92953b,1396495.5105256515
00fa1d469,14928834.511441322
00ff96f49,1412033.5578989687
0100ce0d8,2580944.12361539
0102ea9e1,4328125.125391098
0104b3af3,1538645.9684721997
010672441,1145200.6506419487
010771ca5,2774448.731499106
0108aea9f,1095437.541338621
010a479e1,2934988.9000164666
010d0a2dd,4046388.671148612
010e3cea2,921828.1455902498
010e5417b,2725052.457265974
01108a561,110000.0
0110cca98,1947687.277399403
011449698,1933595.1488907011
0114795f0,1887656.926166933
011626c20,39200000.0
0117c8f27,3505455.78053989
0117dcb47,1331353.4867388566
0118c34be,3071710.3224016214
0119efcb9,4963002.63413656
011a58e13,1950084.807078961
011b7902b,5165417.927368111
011ca122e,200000.0
012053244,1886531.9213971377
0122a258e,1585376.1222928094
0122a4305,689987.0249824376
01230d8ba,1157314.5437552095
012414f4e,5416666.66
012452125,1585668.2618201529
0124529b5,268000.0
012556288,3743444.0244016103
01257c24c,2998600.1233456633
01258b972,1059885.5155520204
0125b64db,1249998.075484383
01295ef92,4182939.681905471
012a2752f,2155201.406549461
012b6ba95,380000.0
012b96b58,2182537.7101897215
012e881b9,2301778.0426890305
012f25e94,2705527.4934645034
012fa70bb,4170000.0
01304fc0a,1968817.4432950031
013230913,5140064.078832593
01336ceb8,1151329.7695367632
0133b85e7,1693817.192299531
0136f8766,1748118.4898159215
0137356b9,3464596.1228990555
013750184,541041.2468783706
013a3f07c,1670665.8828918848
013cc1c13,3191962.417747963
013e96334,1306727.6012078046
013fae0b1,4607172.650578482
014076343,951381.8566917556
0140ea0ba,2946438.5687827677
0143ee127,188531.45352978216
014461014,1864958.342090458
01446634f,800000.0
014729fb2,17000000.0
014749c88,3555000.0
014787fc1,1460000.0
014a6143c,1310477.6381669997
014af25cd,2203535.880064537
014b5797e,7509349.051227055
014badcb1,754927.6781874836
014c523b1,20000000.0
014e55fdb,844125.9062142844
014ea0456,3074070.8127348376
0151cc525,1792429.4080795282
015409983,3411584.021671938
015411bfe,2128086.5723692086
01560b792,47000.0
0157b07da,2019346.0243448163
01587bbbc,1942588.6369542996
0158ba234,2150581.3564615943
01590d52a,14800000.0
015a40790,4189101.209185581
015b07817,521125.40088968165
015fc3313,3606305.288615691
01604ee4b,11002495.972806165
016054375,4378711.053267299
01642dec0,2307403.7160785156
0166ab5ea,766889.166198881
016b405be,2200000.0
016bdc940,3915829.6004401394
016c31d1a,200000.0
016d290da,10000000.0
016decdd2,2344560.464919571
016ee1214,6091928.047919475
016efef23,5432474.325728588
016f60448,3457953.531169297
017029678,2796705.9964309833
01704d4ca,1685347.1628611684
0172638ce,2553042.5715681007
0173e6be5,7350210.646585246
0174ed320,1060000.0
017623c5c,4631133.59931677
017a4044f,3395383.171179445
017a6c7f9,3924105.0663961284
017ae7ac3,2556289.0697864015
017b80d83,5333333.34
017d9f1a4,1000000.0
017e22e34,1907341.5319792463
017e9a902,12492876.075213818
0180f14e9,1301224.7192246006
018148c57,2955525.05658176
018166b42,953610.6513837902
0181a6d0e,1101856.3969006436
018283661,1278726.252207086
0183f9b32,1584451.9821479835
0186cbba4,868135.4830720624
0188bc86f,1014097.2440677407
01890383f,400000.0
018965366,2746661.7486639316
0189c8ab0,3941177.95962015
018d514a2,2284657.2470077244
018d765bb,1656218.1639165983
018dbbe73,2114458.7677657576
018de39ca,2336239.1644908465
018fd935f,7119360.139288306
018ffc9fa,2560502.1103027565
019372984,3395161.296557943
01937e592,600000.0
019381521,1276681.7941889265
01952e574,2000000.0
019540ad9,13896917.714162534
01955815c,1363945.3485245185
0196be03d,1624299.8045665233
01978c738,2737054.0222097496
0197f607c,4791718.291376376
01980e862,1145200.6506419487
019823615,907003.5038141641
019ab3785,2164592.727618062
019c0d544,4171466.213722995
019c5ad1d,4393483.771362089
019cff829,2496982.4338942836
019ed3e51,1511443.7423405012
019fd88df,2242119.068158593
01a0a9e06,927377.5385987654
01a1f927c,1042680.0771195512
01a4d6c6c,699944.3559188239
01a697820,2417697.8520818404
01a72cedb,422987.8828208926
01a900d08,1729207.204662219
01a960c35,2498897.586752069
01aa854be,1033602.3808906268
01ab08b6a,1677495.5129985677
01ad8126b,3633617.8009686125
01af69076,4403237.435517227
01aff9a04,3249428.8166327826
01b128a94,1593999.4720289886
01b1e697f,2900336.6354253963
01b3159e1,3520940.1367737027
01b342719,2100000.0
01b375dad,9120509.50966465
01b6d93e9,2066274.6796289985
01b6e8722,200000.0
01b728f6c,1162708.855222971
01b784536,3568183.9094025698
01b7d0580,20000000.0
01b7defea,720921.9761451952
01b80bb3c,2546231.760873058
01b8c1484,4221764.151113963
01bbb0d76,754882.0612982007
01bc848d9,902730.3345438838
01bd8211e,2043471.5491968093
01bdda11d,2662801.0255046627
01be390b4,2620092.8564731753
01be6122c,3594310.1756712375
01c1d1fb0,3000000.0
01c33d5d2,1032717.7837641109
01c34e2ff,1161954.665468887
01c362322,6720000.0
01c553e1a,2410992.4514405415
01c65531d,2920931.553022349
01c6933d0,40000000.0
01c74c797,3222569.015225057
01c7eafe8,3057045.9879008024
01c81cd35,8017983.18401252
01c898445,2327954.822785674
01c9fd3a7,1515859.9851047928
01ca7113f,1077195.8625536095
01cb0f6ea,6413087.015240034
01cc582f5,190000.0
01cca8141,400000.0
01cef01a2,3000000.0
01d10e85d,2082774.4446157464
01d193713,4000000.0
01d2fecbe,1039735.6353338988
01d38c28f,1282272.4578060082
01d396bc2,1422012.940644895
01d7bfe15,4035759.187332975
01d8282f2,2418410.830359352
01d94bd22,8169714.053018523
01da2afeb,7067464.876960855
01db02cda,2783746.402268786
01dd4ee95,1105676.440507205
01dd8785b,660110.9763850548
01dff0d9c,1314469.1865932127
01e04a9fb,637057.4442112603
01e06a9f0,981490.4184012202
01e1970fb,3986673.727825319
01e1ee7f9,2716522.002431113
01e37465e,50000.0
01e38e47e,810090.7116313082
01e6618b1,4230320.389646619
01e8de681,36000.0
01e9513b2,1073231.7617136997
01ea633f5,4440036.826868073
01eba0824,2311027.5549414917
01eca1d02,5080960.630462415
01ed1f78a,2406167.2009163387
01ee29ec7,5880441.695903226
01eed81f9,1679306.9198666206
01ef1d226,3061839.5727587803
01f0030e3,1844282.2647621792
01f15fad3,1651247.8718843248
01f330ffe,8400000.0
01f39eb1e,800000.0
01f44549a,1991392.1157372303
01f5a652b,2151832.3593124165
01f889c84,19500000.0
01fa9c31e,1892419.3125676848
01fd4e7e9,1482294.5197659123
01fde1134,1911235.506107565
01ff14471,12000000.0
01ffa7fbe,3841418.3384381086
02001f60c,1866666.66
0201ea0a0,1954513.0083822298
0201fe232,2564160.0861650575
020699f8e,1938023.4029438898
0206a24ce,7996500.0
0206bfd06,3243426.070334039
020741219,2736029.5139673525
020816bdb,1670683.8476104147
0209a7570,3103561.7425641273
0209bf7b8,2591189.0331067652
0209d2fd2,1207628.4091050168
020b294bd,2410223.5537832556
020b5b442,2120024.5718851085
020bd2d15,1857480.7397594226
020eaebb2,2906444.3663793746
020ed0585,3175281.3114002664
020f67b89,3395280.6146381055
02118146a,1589303.532513585
0211c154c,3914343.067428537
0211f9abc,1835522.542087506
021257ae5,2000000.0
02135d6ab,2029828.76077727
02170db23,753557.9877636981
02180e987,2392221.469599195
0218218c1,9044981.095924895
0218cd3d7,300000.0
0219f8398,1482022.892546321
021aee575,100000.0
021bd4dca,2646352.4136273526
021da9216,582156.2676002833
021ebd418,20000000.0
021fd795a,5000000.0
02223cd36,8000000.0
0223c16c1,1457973.3635639509
022678dd2,1814873.2609281142
022792b0a,2681440.9161830647
022804284,1248765.3324841019
0228aa82d,2397403.5276067494
0229e75c4,1765228.3284236058
022a8c2f7,20000000.0
022cb2631,2674993.9214714514
0230d4064,7511321.316484797
023377ebc,1824632.986992148
02342e4f7,578907.5353079562
0235e2eab,3972084.9410047377
023990ec3,10000000.0
023ac9a3c,1702719.7465388156
023b81381,2109386.887428624
023fa6bf0,3967307.689002826
024078072,1800000.0
0241d1cc7,2585816.5704166596
0241dbd70,1324408.2835727115
02423aea3,725992.2615384226
0242e62ca,8133333.34
024306e5d,487270.9612093092
0244ca2e6,1095437.541338621
0245590f8,232000.0
0246d6ee2,2266069.8686520075
024739c7d,1547107.9311506813
024766f47,8333333.34
024813220,3243943.2747864504
024890eac,2574179.72348344
024c65d46,2523900.3235754967
024c8f9db,2089888.2104185696
024cbb5b4,606056.0932261276
024d9058c,1831222.4856060022
024fe32af,1133943.511955211
025045845,3740608.780477848
0250eb809,5000000.0
025179e5e,50000000.0
02537cf5e,3910718.7255024384
0254223d8,3199815.309341105
0256c0b0e,8750000.0
025774ca3,3286899.422979898
025786cb9,2879789.525728712
0257e2b97,1562233.791214011
025994da9,1550991.3617422073
025a2f31f,1633582.926440414
025a544da,2414257.7092219526
025a96ed9,2585530.4704569406
025abdc92,2579360.650254943
025ba7d70,3567510.1707910136
025c222b3,3404164.86731996
025c7bb5f,1376883.7369495484
025e5d770,2963643.692335237
02635ccad,2232623.4243788426
02648787c,21200000.0
026756d03,2632900.646174387
0267a271c,2602231.676669002
02681ecec,1882754.2268348117
02697d7c3,3543901.669589487
0269a6f71,2235587.2634498007
0269d314c,1922090.8168093709
0269dba28,3313745.7118285545
026a61d88,2708000.0
026aeaa2c,2697758.7498394405
026b02a83,2072870.436725189
026baed22,2273846.4645955055
026c4e17b,1066265.1503975203
026c5991c,2222998.09893236
026cf59d9,1239582.4487705936
026cfc392,365397.7794059166
0270a390f,1297132.034400667
0270be3af,3053068.428133858
0270e156b,1860968.5815873249
027124809,3443613.7277913797
0272c405a,26344000.0
027400cb8,860000.0
0274ce8b8,2550087.932581877
027769b10,1466469.614613188
0277d96d0,1496363.5669337807
027a21566,7115127.800633307
027c75423,18000000.0
027cc80a8,1928844.9586038871
027d5aea6,3089333.34
02865c5ec,2016581.2872914267
0287280ba,3699107.6573080295
02898064e,3274458.5702035883
028988631,1678066.6759236702
028a5c0d4,1637689.8280912482
028da53a4,160000.0
028ee267a,2013180.2012096064
0292f2fc5,4375276.129751868
02975edfa,2080923.3010567885
029a9db2e,989904.1217989536
029b14b56,2619415.875442823
029bbe7d3,2317658.2603643774
029c1e398,1385391.8946022568
029da4b41,1125928.24043708
02a0c1918,2015229.3263822761
02a2a1bdf,3372719.1862423834
02a2c00e0,1523710.3400463683
02a31514c,2350744.3100112397
02a3dc04d,2000000.0
02a565b91,724641.56085413
02ac98fd5,3555865.447619649
02adff31a,8218223.441836351
02affe93a,1889033.0771581335
02afff518,2299636.830563501
02b000198,1007500.0
02b0b4bae,5046079.817474077
02b0c3fdb,2196241.68119835
02b220cf1,2429187.837304473
02b25ade0,8938216.782027528
02b413bb1,5051685.404368427
02b4aaba1,14864333.34
02b67ff32,1897343.7117695485
02b71a6b2,6565547.895991925
02b79188f,21100000.0
02b8961fc,2486758.964286635
02b96ff6c,3508304.6505718557
02bad4594,2187888.138127707
02bbd7b9d,2400000.0
02bcf8e90,1724673.0433076138
02bde66d2,1103765.1267700323
02bfe3c59,1322484.9682209275
02c119238,3337675.4994262177
02c16cb74,1238433.8122013232
02c475e65,1445501.1532129166
02c4d224b,1165415.046396039
02c6d9700,1895205.5998083437
02c74523d,8600000.0
02c7c5e05,2103139.003525252
02c8a1f80,308000.0
02c8c7175,1615625.4818200162
02c91d25d,2536625.499155416
02ce4321f,1206408.1239243262
02cfae275,2819360.691598216
02d07cb78,2709066.9587653433
02d147e50,1192103.5641692549
02d173c38,3166615.573453332
02d1a1e82,2434822.027890242
02d2dc64c,1812384.2445949456
02d3dcc5a,2000000.0
02d67ed4c,2915412.8132208735
02d682de1,2956012.2825763854
02d72b46d,1643833.257387334
02da114c7,2950361.822117948
02da41c7e,1661956.2917784865
02dad771a,2205983.7504679346
02db2bb9a,262000.0
02dc20d11,1615144.0782618714
02dc3b94d,1291946.4283005495
02dd17f6f,3958575.07553357
02deaaed6,738387.4355259589
02dfd3b7c,732518.0924476861
02e0b923c,9931297.96103984
02e23559a,2962931.3120715604
02e2acbaa,1568176.4326246032
02e5349d9,2397662.3605432543
02e6bbef5,2907549.2743526474
02e7849bb,1960394.0666252745
02e80faad,1240350.7882329938
02eaec8f8,1488062.6295803012
02edb9180,30000000.0
02ee21874,11335953.946848484
02ef3cdc7,4214136.570165594
02f18ce31,1687315.4867671258
02f20fa4a,1877580.5752811052
02f492e98,1429331.294430279
02f7d06a3,1484063.0019392367
02f8c9d39,1353940.037466174
02f928f97,10000000.0
02f97eb4f,3014921.8751413263
02f9cc844,3604306.4517782363
02f9f46ac,1560243.0768702673
02fb07a76,408573.3941727653
02fb4683c,3017607.2760132086
02fd708e8,3793126.21637113
03026bfdd,2706384.45924751
0304186ba,1880661.7851376415
03052941a,3337576.926593163
030553c29,365000.0
0306f5c13,940734.0903018134
03078adf4,1476077.0385597467
030a2297c,720549.6447793035
030b9a986,1895808.6902081848
030bbd54c,1075237.1895273356
030d81f86,3078839.1246232362
03101eca5,4400986.254237283
0311bb483,1510297.2364483275
03121027c,2531317.4594995463
0312ea7f8,2866316.190492376
0313323d7,1738058.3022667663
03148fa17,967685.5780802534
0314aa65d,9087335.14040353
03156f66a,2066758.6173583951
031775c5a,2132775.631837408
0317cd26f,9066666.66
0317dc1c8,600000.0
031959763,2494203.540357067
031961e5e,1521921.8882164739
031a6f52d,5414933.538172356
031af41a0,3079176.3546055406
031be3013,3498827.8045021505
031c054a3,3780287.1536559686
031e02d13,2849399.1209171535
031fe6025,2700436.627436946
03226e167,5775945.949736985
032313121,2976905.96058078
03252fdf8,1685846.6813632895
0325ef5e3,694040.3394259004
03278afaa,2171152.884624496
0329abefe,3497148.8297011373
032b82f0c,5476427.113709262
032cb3413,1369144.9698204782
032f7abe9,1964692.7944743712
032fd3cf7,2389458.540833737
033135e05,20598000.0
03316e7c8,2177666.629767105
0333c53fa,681077.185208599
